model,condition,test_stat,p_value,effect_size,p_adjusted
anthropic/claude-haiku-4.5,AVERAGE_CONSUMER,9.0,0.25,0.5,0.25
anthropic/claude-haiku-4.5,CONSUMER_ADVOCATE,0.0,0.015625,1.0,0.0234375
anthropic/claude-opus-4.6,AVERAGE_CONSUMER,0.0,0.03125,1.0,0.0375
anthropic/claude-opus-4.6,CONSUMER_ADVOCATE,0.0,0.00390625,1.0,0.009375
google/gemini-2.5-flash,AVERAGE_CONSUMER,0.0,0.0078125,1.0,0.013392857142857142
google/gemini-2.5-flash,CONSUMER_ADVOCATE,0.0,0.03125,1.0,0.0375
google/gemini-3-pro-preview,AVERAGE_CONSUMER,0.0,0.00390625,1.0,0.009375
google/gemini-3-pro-preview,CONSUMER_ADVOCATE,0.0,0.00390625,1.0,0.009375
openai/gpt-4o-mini,AVERAGE_CONSUMER,0.0,0.00390625,1.0,0.009375
openai/gpt-4o-mini,CONSUMER_ADVOCATE,0.0,0.0078125,1.0,0.013392857142857142
openai/gpt-5.2,AVERAGE_CONSUMER,0.0,0.00390625,1.0,0.009375
openai/gpt-5.2,CONSUMER_ADVOCATE,0.0,0.125,1.0,0.13636363636363638
